Ticker,Name,Morningstar Category,Morningstar Rating for Funds,Morningstar ESG Risk Rating for Funds,Total Return,Total Return Rank in Category,Adjusted Expense Ratio
VHT,Vanguard Health Care ETF,Health,,,?3.99%,35,0.09%
VGT,Vanguard Information Technology ETF,Technology,,,?8.02%,79,0.09%
MGC,Vanguard Mega Cap ETF,Large Blend,,,?3.99%,71,0.07%
MGK,Vanguard Mega Cap Growth ETF,Large Growth,,,?5.76%,67,0.07%
MGV,Vanguard Mega Cap Value ETF,Large Value,,,0.18%,36,0.07%
VONG,Vanguard Russell 1000 Growth ETF,Large Growth,,,?6.49%,78,0.07%
VOO,Vanguard S&P 500 ETF,Large Blend,,,?3.41%,49,0.03%
VFMO,Vanguard US Momentum Factor ETF,Mid-Cap Blend,,,?4.16%,56,0.13%
VCR,Vanguard Consumer Discretionary ETF,Consumer Cyclical,,,?10.15%,83,0.09%
VDC,Vanguard Consumer Staples ETF,Consumer Defensive,,,3.83%,29,0.09%
VDE,Vanguard Energy ETF,Equity Energy,,,?4.25%,58,0.09%
VFH,Vanguard Financials ETF,Financial,,,2.01%,31,0.09%
VPL,Vanguard FTSE Pacific ETF,Diversified Pacific/Asia,,,8.40%,5,0.07%
VUG,Vanguard Growth ETF,Large Growth,,,?5.41%,61,0.04%
VYM,Vanguard High Dividend Yield ETF,Large Value,,,?0.80%,59,0.06%
BIV,Vanguard Interm-Term Bond ETF,Intermediate Core Bond,,,2.95%,1,0.03%
VCIT,Vanguard Interm-Term Corp Bd ETF,Corporate Bond,,,2.28%,7,0.03%
VIGI,Vanguard Intl Div Apprec ETF,Foreign Large Growth,,,8.77%,52,0.10%
VYMI,Vanguard Intl Hi Div Yld Idx ETF,Foreign Large Value,,,13.93%,63,0.17%
VGIT,Vanguard Intmdt-Term Trs ETF,Intermediate Government,,,3.18%,14,0.03%
VV,Vanguard Large-Cap ETF,Large Blend,,,?3.28%,44,0.04%
VCLT,Vanguard Long-Term Corporate Bd ETF,Long-Term Bond,,,?0.36%,72,0.03%
VAW,Vanguard Materials ETF,Natural Resources,,,0.04%,67,0.09%
VO,Vanguard Mid-Cap ETF,Mid-Cap Blend,,,?0.10%,10,0.04%
VOT,Vanguard Mid-Cap Growth ETF,Mid-Cap Growth,,,1.16%,9,0.07%
VOE,Vanguard Mid-Cap Value ETF,Mid-Cap Value,,,?0.93%,23,0.07%
VONE,Vanguard Russell 1000 ETF,Large Blend,,,?3.44%,48,0.07%
VOOG,Vanguard S&P 500 Growth ETF,Large Growth,,,?4.23%,36,0.07%
VOOV,Vanguard S&P 500 Value ETF,Large Value,,,?2.52%,83,0.07%
IVOV,Vanguard S&P Mid-Cap 400 Value ETF,Small Value,,,?5.08%,15,0.10%
VCSH,Vanguard Short-Term Corporate Bond ETF,Short-Term Bond,,,2.20%,22,0.03%
VTIP,Vanguard Short-Term Infl-Prot Secs ETF,Short-Term Inflation-Protected Bond,,,3.51%,70,0.03%
VGSH,Vanguard Short-Term Treasury ETF,Short Government,,,1.97%,52,0.03%
VB,Vanguard Small-Cap ETF,Small Blend,,,?6.65%,35,0.05%
VBR,Vanguard Small-Cap Value ETF,Small Value,,,?5.66%,20,0.07%
VT,Vanguard Total World Stock ETF,Global Large-Stock Blend,,,1.45%,50,0.06%
VFMV,Vanguard US Minimum Volatility ETF,Mid-Cap Blend,,,3.35%,3,0.13%
VFMF,Vanguard US Multifactor ETF,Mid-Cap Value,,,?2.35%,34,0.18%
VFQY,Vanguard US Quality Factor ETF,Mid-Cap Blend,,,?4.07%,57,0.13%
VTV,Vanguard Value ETF,Large Value,,,?0.17%,45,0.04%
VOX,Vanguard Communication Services ETF,Communications,,,?2.59%,80,0.09%
VIG,Vanguard Dividend Appreciation ETF,Large Blend,,,?1.37%,23,0.05%
VWOB,Vanguard Emerging Mkts Govt Bd ETF,Emerging Markets Bond,,,2.69%,42,0.15%
VCEB,Vanguard ESG US Corporate Bond ETF,Corporate Bond,,,1.59%,30,0.12%
ESGV,Vanguard ESG US Stock ETF,Large Blend,,,?4.86%,84,0.09%
VEU,Vanguard FTSE All-Wld ex-US ETF,Foreign Large Blend,,,10.81%,72,0.04%
VEA,Vanguard FTSE Developed Markets ETF,Foreign Large Blend,,,12.78%,42,0.05%
VWO,Vanguard FTSE Emerging Markets ETF,Diversified Emerging Mkts,,,5.13%,67,0.07%
VGK,Vanguard FTSE Europe ETF,Europe Stock,,,17.21%,42,0.06%
VIS,Vanguard Industrials ETF,Industrials,,,1.65%,41,0.09%
VGLT,Vanguard Long-Term Treasury ETF,Long Government,,,1.44%,55,0.03%
VMBS,Vanguard Mortgage-Backed Secs ETF,Intermediate Government,,,2.38%,42,0.03%
VNQ,Vanguard Real Estate ETF,Real Estate,,,1.13%,37,0.13%
VONV,Vanguard Russell 1000 Value ETF,Large Value,,,0.46%,31,0.07%
VTWO,Vanguard Russell 2000 ETF,Small Blend,,,?8.88%,66,0.07%
VTWV,Vanguard Russell 2000 Value ETF,Small Value,,,?8.71%,57,0.10%
VTHR,Vanguard Russell 3000 ETF,Large Blend,,,?3.64%,61,0.07%
IVOO,Vanguard S&P Mid-Cap 400 ETF,Mid-Cap Blend,,,?5.14%,72,0.07%
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,Mid-Cap Growth,,,?5.36%,67,0.10%
VIOO,Vanguard S&P Small-Cap 600 ETF,Small Blend,,,?9.72%,80,0.07%
VIOG,Vanguard S&P Small-Cap 600 Growth ETF,Small Growth,,,?6.67%,35,0.10%
VIOV,Vanguard S&P Small-Cap 600 Value ETF,Small Value,,,?12.55%,93,0.10%
VBK,Vanguard Small-Cap Growth ETF,Small Growth,,,?8.16%,46,0.07%
VTEB,Vanguard Tax-Exempt Bond ETF,Muni National Interm,,—,?1.35%,87,0.03%
BND,Vanguard Total Bond Market ETF,Intermediate Core Bond,,,2.21%,43,0.03%
BNDX,Vanguard Total International Bond ETF,Global Bond-USD Hedged,,,1.10%,71,0.07%
VXUS,Vanguard Total International Stock ETF,Foreign Large Blend,,,10.58%,76,0.05%
VTI,Vanguard Total Stock Market ETF,Large Blend,,,?3.75%,65,0.03%
VUSB,Vanguard Ultra-Short Bond ETF,Ultrashort Bond,,,1.68%,21,0.10%
VFVA,Vanguard US Value Factor ETF,Mid-Cap Value,,,?5.26%,82,0.13%
VPU,Vanguard Utilities ETF,Utilities,,,6.96%,50,0.09%
VSGX,Vanguard ESG International Stock ETF,Foreign Large Blend,,,9.70%,83,0.10%
EDV,Vanguard Extended Duration Trs ETF,Long Government,,,?1.41%,91,0.05%
VXF,Vanguard Extended Market ETF,Mid-Cap Blend,,,?6.45%,90,0.05%
VSS,Vanguard FTSE All-Wld ex-US SmCp ETF,Foreign Small/Mid Blend,,,7.61%,89,0.08%
VNQI,Vanguard Global ex-US Real Est ETF,Global Real Estate,,,9.53%,15,0.12%
BLV,Vanguard Long-Term Bond ETF,Long-Term Bond,,,0.62%,34,0.03%
VTWG,Vanguard Russell 2000 Growth ETF,Small Growth,,,?9.05%,63,0.10%
BSV,Vanguard Short-Term Bond ETF,Short-Term Bond,,,2.32%,12,0.03%
VTC,Vanguard Total Corporate Bond ETF,Corporate Bond,,,1.31%,70,0.03%
BNDW,Vanguard Total World Bond ETF,Global Bond-USD Hedged,,,1.71%,32,0.05%
VBIL,Vanguard 0-3 Month Treasury Bill ETF,Ultrashort Bond,—,,—,—,0.07%
VTEC,Vanguard California Tax-Exempt Bond ETF,Muni California Intermediate,—,—,?1.63%,93,0.08%
VCRB,Vanguard Core Bond ETF,Intermediate Core Bond,—,,2.21%,19,0.10%
VCRM,Vanguard Core Tax-Exempt Bond ETF,Muni National Interm,—,—,?0.52%,45,0.12%
VPLS,Vanguard Core-Plus Bond ETF,Intermediate Core-Plus Bond,—,,2.34%,19,0.20%
VTEI,Vanguard Intermediate-Term Tx-Exm Bd ETF,Muni National Interm,—,—,?0.40%,45,0.08%
VSDB,Vanguard Short Duration Bond ETF,Short-Term Bond,—,—,—,—,0.15%
VSDM,Vanguard Short Duration Tax-Exm Bd ETF,Muni National Short,—,—,1.18%,5,0.12%
VTES,Vanguard Short-Term Tax-Exmpt Bd ETF,Muni National Short,—,—,0.60%,68,0.06%
VGUS,Vanguard Ultra-Short Treasury ETF,Ultrashort Bond,—,,—,—,0.07%
